			
	REFª	Familia	Subfamilia	PRODUTO	CAPAC	CUSTO	QTD	CUSTO	QTD	VALOR 
						ACTUAL	PEDIDA		RECEBIDA	ANTERIOR
124	1AM1	Nails	Accessories	Moldes All in 1 – 500 units	1 un.	4,96 €	10			
125				Andreia Velvet Hands						
126	0MSL25	Hands	Cleaning Solution	Solução de limpeza de mãos	250ml	2,31 €	10			
127	0MSL50	Hands	Cleaning Solution	Solução de limpeza de mãos	500ml	3,52 €	10			
128	0MPG25	Hands	Masks	Parafina Gel	250ml	3,20 €	10			
129	0MPG50	Hands	Masks	Parafina Gel	500ml	4,89 €	10			
130	0MPGT25	Hands	Masks	Parafina Gel Tropical	250ml	3,20 €	10			
131	0MPGT50	Hands	Masks	Parafina Gel Tropical	500ml	4,89 €	10			
132	0MCMAHA50	Hands	Nourishers	Creme de mãos com Acidos de Frutos - AHA à base de extratos de palntas	500ml	7,15 €	10			
133				Andreia Soft Feet						
134	0PSLP50	Feet	Cleaning Solution	Solução de limpeza de pés	500ml	2,83 €	10			
135	0PSLP10	Feet	Cleaning Solution	Solução de limpeza de pés	1000ml	4,31 €	10			
136	0PLP50	Feet	Anti-septics	Banho de pés com acido lacteo	500ml	2,61 €	10			
137	0PLP10	Feet	Anti-septics	Banho de pés com acido lacteo	1000ml	3,68 €	10			
138	0PPPM25	Feet	Exfoliants	Gel Exfoliante de pés e mãos com Aloe Vera e Camomila	250ml	5,81 €	10			
139	0PPPM50	Feet	Exfoliants	Gel Exfoliante de pés e mãos com Aloe Vera e Camomila	500ml	10,57 €	10			
140	0PGC25	Feet	Calluses	Gel Anti Calosidades	250ml	4,46 €	10			
141	0PGC50	Feet	Calluses	Gel Anti Calosidades	500ml	6,62 €	10			
142	0PCC25	Feet	Calluses	Creme anti calosidades com óleo de Amendoas doces	250ml	5,40 €	10			
143	0PCC50	Feet	Calluses	Creme anti calosidades com óleo de Amendoas doces	500ml	8,28 €	10			
144	0PCP25	Feet	Moisturizers	Creme de pés com Lanolina e Alantoína	250ml	4,17 €	10			
145	0PCP50	Feet	Moisturizers	Creme de pés com Lanolina e Alantoína	500ml	6,92 €	10			
146	0PCPP50	Feet	Moisturizers	Creme de pés - Boião profissional	500ml	6,92 €	10			
147	0PSP25	Feet	Specifics	Spray para pés com mentol	250ml	4,43 €	10			
148				Andreia Body Works						
149	0CSLC25	Body	Cleaning Solution	Solution Body Cleaning 	250ml	2,47 €	10			
150	0CSLC50	Body	Cleaning Solution	Solution Body Cleaning 	500ml	3,96 €	10			
151	0CEC25	Body	Exfoliants	Exfoliating Body Gel with peach seed	250ml	8,40 €	10			
152	0CEC50	Body	Exfoliants	Exfoliating Body Gel with peach seed	500ml	13,59 €	10			
153	0CCML25	Body	Shaping	Shaping and Liporeducing Cream with Plant extracts, Algae and Cocoa	250ml	11,12 €	10			
154	0CCML50	Body	Shaping	Shaping and Liporeducing Cream with Plant extracts, Algae and Cocoa	500ml	19,86 €	10			
155	0CCC25	Body	Shaping	Anti-Cellulite Cream with plant extract and algae	250ml	6,09 €	10			
156	0CCC50	Body	Shaping	Anti-Cellulite Cream with plant extract and algae	500ml	10,87 €	10			
157	0CGA25	Body	Slimming	Slimming Gel with Plant extract and Menthol	250ml	7,15 €	10			
158	0CGA50	Body	Slimming	Slimming Gel with Plant extract and Menthol	500ml	13,78 €	10			
159	0CCR25	Body	Slimming	Firming Cream based on Plant extracts	250ml	10,49 €	10			
160	0CCCM25	Body	Moisturizers	Body and Hand Cream	250ml	2,90 €	10			
161	0CCCM50	Body	Moisturizers	Body and Hand Cream	500ml	5,04 €	10			
162	0CCE15	Body	Specifics	Anti-Stretch Mark based on Plant extracts	150ml	6,39 €	10			
163	0CCS15	Body	Specifics	Salicylate Cream with Plant extracts	150ml	4,62 €	10			
164	0CGE25	Body	Specifics	Stimulating Gel for tired Legs based on Plant extracts and Menthol	250ml	4,66 €	10			
165				Andreia Dead Sea Enigma						
166	0DSM1	Dead Sea	Masks	Dead Sea Facial Mud Mask with Avocado, Olive, Castor and Almond Oil	100gr	8,39 €	10			
167	0DSM5	Dead Sea	Masks	Dead Sea Facial Mud Mask with Avocado, Olive, Castor and Almond Oil	0,5kg	16,86 €	10			
168	0DSL5	Dead Sea	Masks	Dead Sea Black Mud Body Treatment with Olive Oil	0,5kg	9,83 €	10			
169	0DSL1	Dead Sea	Masks	Dead Sea Black Mud Body Treatment with Olive Oil	1kg	16,57 €				
170	0DSECC01	Dead Sea	Exfoliants	Dead Sea Salt Body Scrub with Avocado oil, Cucumber & Green Tea	312gr	7,95 €	10			
171	0DSECL01	Dead Sea	Exfoliants	Dead Sea Salt Body Scrub with Castor oil & Lavender	312gr	7,95 €	10			
172				Andreia Silky Skin						
173	0DGPP25	Depil	After Depil	Prepil Gel with Menthol and Camphor	250ml	6,39 €	10			
174	0DLPD50	Depil	Before Depil	After-Waxing Milk with Aloe, Menthol and Chamomile	500ml	5,53 €	10			
175	0DLR15	Depil	Before Depil	Hair Growth Retarding Milk with Sweet Almond, Aloe and Papaya	150ml	4,92 €	10			
176	0DLR50	Depil	Before Depil	Hair Growth Retarding Milk with Sweet Almond, Aloe and Papaya	500ml	11,76 €	10			
177	0DLOPD50	Depil	Before Depil	After-waxing Lotion with Aloe, Menthol and Chamomile	500ml	5,64 €	10			
178	0DOM15	Depil	Before Depil	Mint Oil	150ml	2,50 €	10			
179	0DOM50	Depil	Before Depil	Mint Oil	500ml	6,31 €	10			
180	0DRRC50	Depil	Specifics	Wax Remover - normal	500ml	2,88 €	10			
181	0DRRC10	Depil	Specifics	Wax Remover - normal	1000ml	5,00 €	10			
182	0DRRCP50	Depil	Specifics	Wax Remover - Cucumber & Green Tea- Pots, Floor and Clothes	500ml	3,31 €	10			
183	0DRRCP10	Depil	Specifics	Wax Remover - Cucumber & Green Tea- Pots, Floor and Clothes	1000ml	5,41 €	10			
184				Andreia Cleanliness						
185	0DSLM10	Clean	Cleaning Solution	 Solution Materials Cleaning  - Hygiene and Cleaning	1000ml	5,65 €	10			
186	0BV10	Clean	Desinfectants	BIO-VIRU Desinfectant - Floor and work surfaces	1000ml	10,06 €	10			
						948,67 €		0,00		
										
										
										
										
										
										
